Year;Population;Annual Growth Rate (%);Annual Population Change
1950;2557628654;1.459;37310282
1951;2594938936;1.612;41831450
1952;2636770386;1.717;45280066
1953;2682050452;1.796;48173658
1954;2730224110;1.900;51869741
1955;2782093851;1.912;53199590
1956;2835293441;1.977;56048861
1957;2891342302;1.964;56786303
1958;2948128605;1.783;52578072
1959;3000706677;1.409;42283594
1960;3042990271;1.348;41017015
1961;3084007286;1.822;56180064
1962;3140187350;2.223;69791424
1963;3209978774;2.225;71433483
1964;3281412257;2.112;69287732
1965;3350699989;2.099;70315620
1966;3421015609;2.038;69719846
1967;3490735455;2.064;72051156
1968;3562786611;2.103;74921345
1969;3637707956;2.079;75619942
1970;3713327898;2.091;77652184
1971;3790980082;2.012;76262174
1972;3867242256;1.954;75548264
1973;3942790520;1.890;74533435
1974;4017323955;1.779;71486942
1975;4088810897;1.714;70077939
1976;4158888836;1.704;70859198
1977;4229748034;1.676;70883181
1978;4300631215;1.714;73718463
1979;4374349678;1.625;71073997
1980;4445423675;1.831;81394242
1981;4526817917;1.776;80375436
1982;4607193353;1.767;81389390
1983;4688582743;1.687;79086434
1984;4767669177;1.724;82191372
1985;4849860549;1.739;84350860
1986;4934211409;1.761;86873680
1987;5021085089;1.746;87651464
1988;5108736553;1.708;87242536
1989;5195979089;1.699;88272950
1990;5284252039;1.575;83236623
1991;5367488662;1.578;84699211
1992;5452187873;1.508;82230176
1993;5534418049;1.448;80112049
1994;5614530098;1.448;81293007
1995;5695823105;1.413;80504642
1996;5776327747;1.359;78513753
1997;5854841500;1.318;77183358
1998;5932024858;1.292;76621793
1999;6008646651;1.266;76057228
2000;6084703879;1.252;76186214
2001;6160890093;1.238;76264041
2002;6237154134;1.231;76788436
2003;6313942570;1.215;76693739
2004;6390636309;1.202;76795190
2005;6467431499;1.203;77787494
2006;6545218993;1.196;78304662
2007;6623523655;1.187;78635747
2008;6702159402;1.174;78674479
2009;6780833881;1.147;77750874
2010;6858584755;1.129;77414736
2011;6935999491;1.123;77871822
2012;7013871313;1.116;78256781
2013;7092128094;1.098;77840091
2014;7169968185;1.087;77924603
2015;7247892788;1.078;78103921
2016;7325996709;1.080;79110941
2017;7405107650;1.053;77942567
2018;7483050217;1.031;77117663
2019;7560167880;1.004;75916190
2020;7636084070;0.976;74535600
2021;7710619670;0.951;73365272
2022;7783984942;0.929;72314244
2023;7856299186;0.906;71166554
2024;7927465740;0.883;70001443
2025;7997467183;0.861;68897294
2026;8066364477;0.840;67788374
2027;8134152851;0.819;66630249
2028;8200783100;0.798;65460176
2029;8266243276;0.778;64282345
2030;8330525621;0.758;63177682
2031;8393703303;0.741;62157857
2032;8455861160;0.723;61145815
2033;8517006975;0.706;60126626
2034;8577133601;0.689;59088310
2035;8636221911;0.673;58107354
2036;8694329265;0.658;57181289
2037;8751510554;0.643;56234932
2038;8807745486;0.627;55265232
2039;8863010718;0.612;54270741
2040;8917281459;0.598;53310730
2041;8970592189;0.584;52380915
2042;9022973104;0.570;51406040
2043;9074379144;0.555;50382713
2044;9124761857;0.540;49318545
2045;9174080402;0.526;48279438
2046;9222359840;0.512;47259631
2047;9269619471;0.498;46193273
2048;9315812744;0.484;45087129
2049;9360899873;0.469;43948399
2050;9404848272;0.0;0
